Time,x,y,z
1.0,2.9994469647449518,-0.026175777106721816,-0.051310178085392094
2.0,5.998556347884889,-0.05653652751991933,-0.1178017775272353
3.0,8.997871678355375,-0.07538202953344918,-0.17905857681163667
4.0,11.997562346995075,-0.09056495801304605,-0.21937446894725612
5.0,14.99699280741938,-0.09684695966464507,-0.27749029754917687
6.0,11.997559468902288,-0.10155846241031076,-0.3356061261510976
7.0,8.998535044338892,-0.1046990345917,-0.412043274701799
8.0,5.998899892222775,-0.10888731809449737,-0.4586416917416939
9.0,8.99825328879461,-0.13715639490183804,-0.5141399959451983
10.0,11.998045620218228,-0.16700044370935943,-0.5329894278418752
11.0,14.99736263339818,-0.17118828300611494,-0.5968636515264975
12.0,17.99693053659068,-0.19684155308772805,-0.6408443731154795
13.0,20.996547281617293,-0.22197167147935695,-0.6816838161277277
14.0,23.99600511370488,-0.2371534214571986,-0.7366586103160361
15.0,26.99549182677812,-0.2617589052966655,-0.7863982148791286
16.0,29.994965473120793,-0.2868878248395164,-0.8366613454860727
17.0,32.994333079064276,-0.31568057134189614,-0.891112627984557
18.0,35.99340375075254,-0.33452453609873073,-0.9633622730462698
19.0,38.99261276880934,-0.3575572606983554,-1.028283452982563
20.0,41.991935967452406,-0.3879201756205107,-1.0843052655106886
21.0,44.99162047082814,-0.4156687837660118,-1.117814890298955
22.0,47.991020840918296,-0.4575510351564568,-1.1607485242178306
23.0,50.990578374693214,-0.48896347645849336,-1.2015879672300789
24.0,53.99022139246677,-0.5214240046238652,-1.2345740253997335
25.0,56.98909839032174,-0.5622519432890345,-1.3057767722617994
26.0,59.98886033808568,-0.5900012678345367,-1.3314327995222799
27.0,62.98843267293239,-0.6151310141676082,-1.375413521111262
28.0,65.98805755214761,-0.6470677524182692,-1.4104938395670001
29.0,68.98721025674698,-0.6868523537666787,-1.4696566656477494
30.0,71.98669688097583,-0.7161698010974518,-1.5167786175832114
31.0,74.98600400215517,-0.7522915186734782,-1.5701828717419521
32.0,77.98340932628905,-0.8763478633023494,-1.583272799596192
33.0,75.1488050459123,-1.5930866295066268,-2.2550645193202348
34.0,72.33038653399498,-2.3482795937077983,-2.9523454372455866
35.0,69.5182519600355,-3.1408537455014196,-3.6333192633581364
36.0,66.71599101636357,-3.933285441005058,-4.354003390789927
37.0,63.97349301972945,-4.89745769111586,-5.095000428958156
38.0,61.04952716605574,-5.050696248206341,-5.748408135655126
39.0,58.26644817567709,-5.894138438976091,-6.485345449232405
40.0,55.47053729068431,-6.73135645170519,-7.179570428861371
41.0,52.69666671664916,-7.632641636010089,-7.8819428763950015
42.0,49.94292848863791,-8.576531005364851,-8.607200506488294
43.0,47.172392497972886,-9.489580666269138,-9.30753659805601
44.0,44.32925401551661,-10.187396321319744,-9.96298825999802
45.0,41.4482169537525,-10.634434251662338,-10.66994125530721
46.0,38.60009333665329,-11.261677163270292,-11.373331752512897
47.0,35.74321312967223,-11.837206385359806,-12.085372199033232
48.0,32.866608802446876,-12.36827651927578,-12.751038825394257
49.0,30.008819644337194,-13.000786618493043,-13.40904498203637
50.0,27.138096988745637,-13.544772221668012,-14.089508866611986
51.0,24.266842027859838,-14.070192241332235,-14.782205591394723
52.0,21.437150454179868,-14.812547928767575,-15.446851084253124
53.0,18.58084106163791,-15.43166952717776,-16.123744798552938
54.0,15.736112878226125,-16.09418191899216,-16.808287633732053
55.0,12.880352872333573,-16.726765769356614,-17.474975312486244
56.0,15.864589633335642,-17.015692196281787,-17.57915052118838
57.0,18.863372785034542,-17.101027201612805,-17.583339310032123
58.0,21.861250618234855,-17.213574135465397,-17.591193282694377
59.0,24.857394063598647,-17.36482795177557,-17.606901174188636
60.0,27.856084564220687,-17.453303179603488,-17.61213715928633
61.0,30.854136811403816,-17.561140968686374,-17.619467534850365
62.0,33.791573297319154,-17.598055827365258,-18.227829420919903
63.0,30.87965375314131,-17.951983914708325,-18.856685109631368
64.0,27.949180750959115,-18.120440765576923,-19.476322320325437
65.0,25.013048992547542,-18.1886090812915,-20.08827279052675
66.0,22.075316645705218,-18.276312127212847,-20.689967758141083
67.0,19.190808475106085,-18.849553133429687,-21.2824265014628
68.0,16.290544051025766,-19.316177174761886,-21.891301098128533
69.0,13.376437600517287,-19.60550272370239,-22.542664531117484
70.0,10.4899871306775,-20.155078442614865,-23.147949764989505
71.0,7.555549736462911,-20.160712164901085,-23.771684837442784
72.0,4.633068417686557,-20.440570792095603,-24.3887602705853
73.0,1.739204994230457,-20.899431489672796,-25.032966252086492
74.0,-1.165079726702679,-21.322085500368534,-25.65465254516134
75.0,-4.064434818045971,-21.760054138434697,-26.288626934527507
76.0,-6.975448890437097,-22.14277954962248,-26.904677524959798
77.0,-9.874436480200895,-22.592602784948493,-27.531997229222565
78.0,-12.792613792410172,-22.935926189573827,-28.137282463094586
79.0,-15.75620750194889,-23.27672917311078,-28.45503338944234
80.0,-18.672547139250714,-23.783089811088377,-28.94346150514534
81.0,-21.597248014048326,-24.235334752112728,-29.43498902856186
